id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1105,"Xmythorig Wireless Earbuds Bluetooth 5.3 Headphones with Superior Stereo Sound, Bass Boosted, IPX8 Waterproof Earphones, 8Hrs Long Playtime/Single Charge, Touch Control in-Ear Headset w/Mic",headphones,24.99,4.2,6195,B0BJ6NJLFP,https://www.amazon.com/dp/B0BJ6NJLFP,https://m.media-amazon.com/images/I/712y3sC-oaL._AC_UL320_.jpg,False,0
1106,"Black Shark Bluetooth Earbuds with 0.035s Ultra-Low Latency, Dual Environmental Noise Cancelling Microphones, Wireless Earbuds Gaming Earbuds with Bluetooth 5.2, IPX5 Waterproof, 26h Listening Time",headphones,46.99,4.2,6167,B09V84HMM5,https://www.amazon.com/dp/B09V84HMM5,https://m.media-amazon.com/images/I/61JnRbeVahL._AC_UL320_.jpg,False,0
1107,"Sennheiser RS 175 RF Wireless Headphone System for TV Listening with Bass Boost and Surround Sound Modes,Black",headphones,199.95,4.3,6164,B00SLUI5SA,https://www.amazon.com/dp/B00SLUI5SA,https://m.media-amazon.com/images/I/81hNXs36eXL._AC_UL320_.jpg,False,0
1108,AKG K52 Headphones,headphones,37.9,4.5,6152,B019EACGSU,https://www.amazon.com/dp/B019EACGSU,https://m.media-amazon.com/images/I/61OnK6q6skL._AC_UL320_.jpg,False,0
1109,"[2 Pack] WEIZY Aux Earbuds, Vize 3.5mm Wired Headphones Noise Isolating Earphones Volume Control & Built-in Microphone Compatible with iPhone/Samsung/Android/MP3/MP4",headphones,9.99,4.2,6137,B0851ZPB5C,https://www.amazon.com/dp/B0851ZPB5C,https://m.media-amazon.com/images/I/51yhHUl6imL._AC_UL320_.jpg,False,0
1110,JVC HAEB75B Sports Clip Headphone (Black),headphones,10.8,4.0,6136,B003AIL2HE,https://www.amazon.com/dp/B003AIL2HE,https://m.media-amazon.com/images/I/611rEHqCbrL._AC_UL320_.jpg,False,0
1111,"Sennheiser HD 450BT Bluetooth 5.0 Wireless Headphone with Active Noise Cancellation - 30-Hour Battery Life, USB-C Fast Charging, Virtual Assistant Button, Foldable - White",headphones,129.95,4.2,6125,B083WRNNR3,https://www.amazon.com/dp/B083WRNNR3,https://m.media-amazon.com/images/I/61u7ZdmPPsS._AC_UL320_.jpg,False,0
1112,"Sennheiser HD 450BT Bluetooth 5.0 Wireless Headphone with Active Noise Cancellation - 30-Hour Battery Life, USB-C Fast Charging, Virtual Assistant Button, Foldable - Black",headphones,107.79,4.2,6125,B083W7V3RG,https://www.amazon.com/dp/B083W7V3RG,https://m.media-amazon.com/images/I/71z97HfSZxS._AC_UL320_.jpg,False,0
1113,"Wireless Earbuds,Air Buds Pod Bluetooth 5.3 Headphones Noise Cancelling Air Bud Pro Stereo Ear pods in-Ear Ear Buds Built-in Mic IPX7 Waterproof Earphones Sport Headsets for iPhone/Samsung/Android",headphones,40.99,4.7,6092,B07QM693YG,https://www.amazon.com/dp/B07QM693YG,https://m.media-amazon.com/images/I/51nf0FEVaSL._AC_UL320_.jpg,False,0
1114,"DUOTEN Waterproof Wireless Earbuds, Bluetooth 5.0 Wireless Headphone 156H Playtime Hi-Fi Stereo Sound, IPX7 Waterproof in-Ear Wireless Earphones w/Mic LCD Digital Display 2200mAh Rechargeable Case",headphones,34.88,4.2,6080,B085GDY2G7,https://www.amazon.com/dp/B085GDY2G7,https://m.media-amazon.com/images/I/618eOE4lHkL._AC_UL320_.jpg,False,0
